Family,species,IUCN Status
Pelodryadidae,Litoria staccato,
Pelodryadidae,Litoria subglandulosa,VU
Pelodryadidae,Litoria tornieri ,
Pelodryadidae,Litoria tyleri ,
Pelodryadidae,Litoria verreauxii ,
Pelodryadidae,Litoria watjulumensis,
Pelodryadidae,Litoria wilcoxii,
Pelodryadidae,Litoria xanthomera ,
Myobatrachidae,Metacrinia nichollsi,
Myobatrachidae,Mixophyes balbus ,VU
Myobatrachidae,Mixophyes carbinensis,
Myobatrachidae,Mixophyes coggeri,
Myobatrachidae,Mixophyes fasciolatus,
Myobatrachidae,Mixophyes fleayi,EN
Myobatrachidae,Mixophyes iteratus,EN
Myobatrachidae,Mixophyes schevilli,
Myobatrachidae,Myobatrachus gouldii,
Limnodynastidae,Neobatrachus albipes ,
Limnodynastidae,Neobatrachus aquilonius,
Limnodynastidae,Neobatrachus fulvus,
Limnodynastidae,Neobatrachus kunapalari,
Limnodynastidae,Neobatrachus pelobatoides ,
Limnodynastidae,Neobatrachus pictus ,
Limnodynastidae,Neobatrachus sudellae ,
Limnodynastidae,Neobatrachus sutor,
Limnodynastidae,Neobatrachus wilsmorei,
Limnodynastidae,Notaden bennettii ,
Limnodynastidae,Notaden melanoscaphus ,
Limnodynastidae,Notaden nichollsi,
Limnodynastidae,Notaden weigeli ,
Ranidae,Papurana daemeli ,
Myobatrachidae,Paracrinia haswelli ,
Limnodynastidae,Philoria frosti ,CR
Limnodynastidae,Philoria kundagungan,EN
Limnodynastidae,Philoria loveridgei,EN
Limnodynastidae,Philoria pughi,EN
Limnodynastidae,Philoria richmondensis,EN
Limnodynastidae,Philoria sphagnicola,EN
Limnodynastidae,Platyplectrum ornatum,
Limnodynastidae,Platyplectrum spenceri,
Myobatrachidae,Pseudophryne australis ,VU
Myobatrachidae,Pseudophryne bibronii,
Myobatrachidae,Pseudophryne coriacea ,
Myobatrachidae,Pseudophryne corroboree ,CR
Myobatrachidae,Pseudophryne covacevichae ,EN
Myobatrachidae,Pseudophryne dendyi ,
Myobatrachidae,Pseudophryne douglasi ,
Myobatrachidae,Pseudophryne guentheri ,
Myobatrachidae,Pseudophryne major,
Myobatrachidae,Pseudophryne occidentalis,
Myobatrachidae,Pseudophryne pengilleyi ,EN
Myobatrachidae,Pseudophryne raveni,
Myobatrachidae,Pseudophryne robinsoni,
Myobatrachidae,Pseudophryne semimarmorata ,
Myobatrachidae,Rheobatrachus silus ,EX
Myobatrachidae,Rheobatrachus vitellinus ,EX
Bufonidae,Rhinella marina,
Myobatrachidae,Spicospina flammocaerulea,VU
Myobatrachidae,Taudactylus acutirostris ,CR
Myobatrachidae,Taudactylus diurnus ,EX
Myobatrachidae,Taudactylus eungellensis ,CR
Myobatrachidae,Taudactylus liemi,
Myobatrachidae,Taudactylus pleione,CR
Myobatrachidae,Taudactylus rheophilus,CR
Myobatrachidae,Uperoleia altissima ,
Myobatrachidae,Uperoleia arenicola,
Myobatrachidae,Uperoleia aspera,
Myobatrachidae,Uperoleia borealis,
Myobatrachidae,Uperoleia crassa,
Myobatrachidae,Uperoleia daviesae,
Myobatrachidae,Uperoleia fusca,
Myobatrachidae,Uperoleia glandulosa,
Myobatrachidae,Uperoleia inundata,
Myobatrachidae,Uperoleia laevigata ,
Myobatrachidae,Uperoleia lithomoda,
Myobatrachidae,Uperoleia littlejohni,
Myobatrachidae,Uperoleia mahonyi,
Myobatrachidae,Uperoleia marmorata,
Myobatrachidae,Uperoleia martini,
Myobatrachidae,Uperoleia micra,
Myobatrachidae,Uperoleia micromeles,
Myobatrachidae,Uperoleia mimula,
Myobatrachidae,Uperoleia minima,
Myobatrachidae,Uperoleia mjobergii,
Myobatrachidae,Uperoleia orientalis,
Myobatrachidae,Uperoleia rugosa,
Myobatrachidae,Uperoleia russelli ,
Myobatrachidae,Uperoleia saxatilis,
Myobatrachidae,Uperoleia stridera,
Myobatrachidae,Uperoleia talpa,
Myobatrachidae,Uperoleia trachyderma,
Myobatrachidae,Uperoleia tyleri ,
